"UniqueID","Year","Breed","Breedclean","Age","Agenum","Gender","SpayNeuter","Borough","ZipCode"
8406,"2016","Pit Bull","Pit bull","5",5,"M","true","Queens","11420"
8407,"2016","POMSKY","Other","4M",0,"M","false","Queens","11365"
8409,"2016","COCKER SPANIEL / POODLE MIX","Poodle","3",3,"M","true","Queens","11362"
8411,"2016","German Shepherd","German shepherd","5",5,"M","true","Queens","11385"
8412,"2016","Dalmatian","Other","11",11,"F","false","Queens","11421"
8414,"2016","TERRIER MIX","Terrier","10",10,"M","false","Queens","11369"
8416,"2016","PITBULL TERRIER MIX","Pit bull","5",5,"F","true","Queens","11385"
8417,"2016","HOUND MIX","Other","2",2,"M","true","Queens","11365"
8418,"2016","Pit Bull","Pit bull","3",3,"M","true","Queens","11691"
8419,"2016","Shih Tzu","Shih tzu","7",7,"F","true","Queens","11373"
8420,"2016","West High White Terrier","Terrier","13",13,"M","true","Queens","11379"
8422,"2016","POODLE MIX","Poodle","4",4,"M","false","Queens","11413"
8423,"2016","Puggle","Other","6",6,"F","true","Queens","11101"
8426,"2016","Chihuahua","Chihuahua","11",11,"M","false","Queens","11414"
8427,"2016","Siberian Husky","Husky","5 MTHS",0,"F","false","Queens","11103"
8430,"2016","Poodle, Standard","Poodle","2",2,"M","true","Queens","11355"
8431,"2016","Jack Russ","Terrier","5",5,"F","false","Queens","11364"
8432,"2016","Pit Bull","Pit bull","3",3,"M","false","Queens","11694"
8433,"2016","Mixed/Other","Other","9",9,"M","true","Queens","11361"
8434,"2016","American Pit Bull Terrier/Pit Bull","Pit bull","3",3,"M","true","Queens","11374"
8439,"2016","Mixed/Other","Other","2",2,"F","false","Queens","11363"
8440,"2016","GERMAN SHEPHERD MIX","German shepherd","1",1,"M","false","Queens","11418"
8443,"2016","JACK RUSS / CHIHUAHUA MIX","Chihuahua","12",12,"F","true","Queens","11358"
8444,"2016","Pit Bull","Pit bull","6",6,"F","false","Queens","11426"
8445,"2016","PIT BULL MIX","Pit bull","6",6,"F","true","Queens","11426"
8448,"2016","Pit Bull","Pit bull","5",5,"M","false","Queens","11364"
8449,"2016","Siberian Husky","Husky","4",4,"F","true","Queens","11421"
8453,"2016","Pit Bull","Pit bull","1",1,"M","false","Queens","11692"
8454,"2016","SHIH TZU / BICHON FRISE MIX","Shih tzu","5",5,"M","true","Queens","11102"
8455,"2016","Pit Bull","Pit bull","10",10,"F","true","Queens","11106"
8456,"2016","American Pit Bull Mix / Pit Bull Mix","Pit bull","4",4,"F","true","Queens","11420"
